Unequal	PubMed-24603336.json:0:7	O
prognostic	PubMed-24603336.json:8:18	O
potentials	PubMed-24603336.json:19:29	O
of	PubMed-24603336.json:30:32	O
p53	PubMed-24603336.json:33:36	O
gain	PubMed-24603336.json:37:41	O
-	PubMed-24603336.json:41:42	O
of	PubMed-24603336.json:42:44	O
-	PubMed-24603336.json:44:45	O
function	PubMed-24603336.json:45:53	O
mutations	PubMed-24603336.json:54:63	O
in	PubMed-24603336.json:64:66	O
human	PubMed-24603336.json:67:72	O
cancers	PubMed-24603336.json:73:80	O
associate	PubMed-24603336.json:81:90	O
with	PubMed-24603336.json:91:95	O
drug	PubMed-24603336.json:96:100	O
-	PubMed-24603336.json:100:101	O
metabolizing	PubMed-24603336.json:101:113	O
activity	PubMed-24603336.json:114:122	O
.	PubMed-24603336.json:122:123	O

Mutation	PubMed-24603336.json:124:132	O
of	PubMed-24603336.json:133:135	O
p53	PubMed-24603336.json:136:139	O
is	PubMed-24603336.json:140:142	O
the	PubMed-24603336.json:143:146	O
most	PubMed-24603336.json:147:151	O
common	PubMed-24603336.json:152:158	O
genetic	PubMed-24603336.json:159:166	O
change	PubMed-24603336.json:167:173	O
in	PubMed-24603336.json:174:176	O
human	PubMed-24603336.json:177:182	O
cancer	PubMed-24603336.json:183:189	O
,	PubMed-24603336.json:189:190	O
causing	PubMed-24603336.json:191:198	O
complex	PubMed-24603336.json:199:206	O
effects	PubMed-24603336.json:207:214	O
including	PubMed-24603336.json:215:224	O
not	PubMed-24603336.json:225:228	O
only	PubMed-24603336.json:229:233	O
loss	PubMed-24603336.json:234:238	O
of	PubMed-24603336.json:239:241	O
wild	PubMed-24603336.json:242:246	O
-	PubMed-24603336.json:246:247	O
type	PubMed-24603336.json:247:251	O
function	PubMed-24603336.json:252:260	O
but	PubMed-24603336.json:261:264	O
also	PubMed-24603336.json:265:269	O
gain	PubMed-24603336.json:270:274	O
of	PubMed-24603336.json:275:277	O
novel	PubMed-24603336.json:278:283	O
