Nephron	PubMed-28683731.json:0:7	B-CPA
development	PubMed-28683731.json:8:19	E-CPA
and	PubMed-28683731.json:20:23	O
extrarenal	PubMed-28683731.json:24:34	B-CPA
features	PubMed-28683731.json:35:43	E-CPA
in	PubMed-28683731.json:44:46	O
a	PubMed-28683731.json:47:48	O
child	PubMed-28683731.json:49:54	O
with	PubMed-28683731.json:55:59	O
congenital	PubMed-28683731.json:60:70	O
nephrotic	PubMed-28683731.json:71:80	O
syndrome	PubMed-28683731.json:81:89	O
caused	PubMed-28683731.json:90:96	B-Reg
by	PubMed-28683731.json:97:99	E-Reg
null	PubMed-28683731.json:100:104	O
LAMB2	PubMed-28683731.json:105:110	B-Gene
mutations	PubMed-28683731.json:111:120	B-Var
.	PubMed-28683731.json:120:121	O

BACKGROUND	PubMed-28683731.json:122:132	O
:	PubMed-28683731.json:132:133	O
Congenital	PubMed-28683731.json:134:144	O
nephrotic	PubMed-28683731.json:145:154	O
syndrome	PubMed-28683731.json:155:163	O
(	PubMed-28683731.json:164:165	O
CNS	PubMed-28683731.json:165:168	O
)	PubMed-28683731.json:168:169	O
is	PubMed-28683731.json:170:172	O
a	PubMed-28683731.json:173:174	O
rare	PubMed-28683731.json:175:179	O
disorder	PubMed-28683731.json:180:188	O
caused	PubMed-28683731.json:189:195	O
by	PubMed-28683731.json:196:198	O
various	PubMed-28683731.json:199:206	O
structural	PubMed-28683731.json:207:217	O
and	PubMed-28683731.json:218:221	O
developmental	PubMed-28683731.json:222:235	O
defects	PubMed-28683731.json:236:243	O
of	PubMed-28683731.json:244:246	O
glomeruli	PubMed-28683731.json:247:256	O
.	PubMed-28683731.json:256:257	O

It	PubMed-28683731.json:258:260	O
occurs	PubMed-28683731.json:261:267	O
typically	PubMed-28683731.json:268:277	O
as	PubMed-28683731.json:278:280	O
an	PubMed-28683731.json:281:283	O
isolated	PubMed-28683731.json:284:292	O
kidney	PubMed-28683731.json:293:299	O
disorder	PubMed-28683731.json:300:308	O
but	PubMed-28683731.json:309:312	O
associates	PubMed-28683731.json:313:323	O
